Cable Pin Number,Role / NIC Port,New GPIO Pin,LED,,
1,3.3 V,,,,falseGPIO Pin Number
2,5 V,,,,
3,,2,,,
4,5 V,,,,8 SDA1 (I2C)
5,,3,,,
6,Ground,,,,9 SCL1 (I2C)
7,,4,,,
8,,14,,,7 GPCLK0
9,Ground,,,,15 TxD (UART)
10,,15,,,
11,,17,,,16 RxD (UART)
12,,18,,,0
13,Port 1 Transmit,27,Port 1 Transmit LED,,1
14,Ground,,,,2
15,Port 3 Recieve,22,,,
16,Port 3 Transmit,23,Port 3 Transmit LED,,3
17,3.3 V,,,,4
18,Port 2 Recieve,24,,,
19,,10,,,5
20,Ground,,,,12 MOSI (SPI)
21,,9,,,
22,Port 2 Transmit,25,Port 2 Transmit LED,,13 MISO (SPI)
23,,11,,,6
24,,8,,,14 SCLK (SPI)
25,Ground,,,,10 CE0 (SPI)
26,,7,,,
27,,0,,,11 CE1 (SPI)
28,,1,,,30 (I2C ID EEPROM)
29,,5,,,31 (I2C ID EEPROM)
30,Ground,,,,21 GPCLK1
31,,6,,,
32,,12,,,22 GPCLK2
33,,13,,,26 PWM0
34,Ground,,,,23 PWM1
35,,19,,,
36,,16,,,24  PCM_FS/PWM1
37,Port 1 Recieve,26,,,27
38,Port 4 Recieve,20,,,25
39,Ground,,,,28 PCM_DIN
40,Port 4 Transmit,21,Port 4 Transmit LED,,
,,,,,29 PCM_DOUT
