,,,
,Cable Pin Number,Role / NIC Port,GPIO Pin Number
,1,3.3 V,
,2,5 V,
,3,,8 SDA1 (I2C)
,4,5 V,
,5,,9 SCL1 (I2C)
,6,Ground,
,7,,7 GPCLK0
,8,,15 TxD (UART)
,9,Ground,
,10,,16 RxD (UART)
,11,,0
,12,,1
,13,Port 1 Transmit,2
,14,Ground,
,15,Port 3 Recieve,3
,16,Port 3 Transmit,4
,17,3.3 V,
,18,Port 2 Recieve,5
,19,,12 MOSI (SPI)
,20,Ground,
,21,,13 MISO (SPI)
,22,Port 2 Transmit,6
,23,,14 SCLK (SPI)
,24,,10 CE0 (SPI)
,25,Ground,
,26,,11 CE1 (SPI)
,27,,30 (I2C ID EEPROM)
,28,,31 (I2C ID EEPROM)
,29,,21 GPCLK1
,30,Ground,
,31,,22 GPCLK2
,32,,26 PWM0
,33,,23 PWM1
,34,Ground,
,35,,24  PCM_FS/PWM1
,36,,27
,37,Port 1 Recieve,25
,38,Port 4 Recieve,28 PCM_DIN
,39,Ground,
,40,Port 4 Transmit,29 PCM_DOUT
